Routing table for Node Id 1 Time = 0 seconds
 Destination 	 Path 	 Cost
5 	1-5	2
6 	1-6	8
10 	1-10	2
Routing table for Node Id 1 Time = 20 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	6
2 	1-5-3-2	21
3 	1-5-3	11
4 	1-5-4	12
5 	1-5	4
6 	1-6	2
7 	1-5-7	11
8 	1-5-8	17
9 	1-5-9	7
10 	1-10	4
Routing table for Node Id 1 Time = 40 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	4
2 	1-5-3-2	14
3 	1-5-3	6
4 	1-5-4	10
5 	1-5	2
6 	1-6	2
7 	1-6-7	5
8 	1-5-8	14
9 	1-5-9	6
10 	1-10	4
Routing table for Node Id 1 Time = 60 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	5
2 	1-5-3-2	20
3 	1-5-3	11
4 	1-5-4	7
5 	1-5	3
6 	1-6	8
7 	1-5-7	7
8 	1-5-8	13
9 	1-5-9	8
10 	1-10	4
Routing table for Node Id 1 Time = 80 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	7
2 	1-5-3-2	18
3 	1-5-3	10
4 	1-5-4	12
5 	1-5	5
6 	1-6	4
7 	1-6-7	9
8 	1-5-8	16
9 	1-5-9	12
10 	1-10	2
Routing table for Node Id 1 Time = 100 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	6
2 	1-5-8-2	23
3 	1-5-3	9
4 	1-5-4	7
5 	1-5	4
6 	1-6	4
7 	1-6-7	6
8 	1-5-8	15
9 	1-5-9	8
10 	1-10	2
Routing table for Node Id 1 Time = 120 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	7
2 	1-5-3-2	19
3 	1-5-3	10
4 	1-5-4	11
5 	1-5	5
6 	1-6	6
7 	1-5-7	13
8 	1-5-8	16
9 	1-5-9	12
10 	1-10	3
Routing table for Node Id 1 Time = 140 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	6
2 	1-5-3-2	17
3 	1-5-3	8
4 	1-5-4	8
5 	1-5	4
6 	1-6	7
7 	1-5-7	8
8 	1-5-8	16
9 	1-5-9	7
10 	1-10	2
Routing table for Node Id 1 Time = 160 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	7
2 	1-5-8-2	24
3 	1-5-3	13
4 	1-5-4	9
5 	1-5	5
6 	1-6	5
7 	1-5-7	10
8 	1-5-8	16
9 	1-5-9	13
10 	1-10	4
Routing table for Node Id 1 Time = 180 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	7
2 	1-5-3-2	22
3 	1-5-3	12
4 	1-5-4	11
5 	1-5	5
6 	1-6	5
7 	1-5-7	13
8 	1-5-8	19
9 	1-5-9	12
10 	1-10	2
Routing table for Node Id 1 Time = 200 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	5
2 	1-5-3-2	20
3 	1-5-3	7
4 	1-5-4	7
5 	1-5	3
6 	1-6	3
7 	1-5-7	8
8 	1-5-8	14
9 	1-5-9	9
10 	1-10	3
Routing table for Node Id 1 Time = 220 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	5
2 	1-5-3-2	18
3 	1-5-3	10
4 	1-5-4	9
5 	1-5	3
6 	1-6	8
7 	1-5-7	11
8 	1-5-8	15
9 	1-5-9	9
10 	1-10	2
Routing table for Node Id 1 Time = 240 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	5
2 	1-5-3-2	23
3 	1-5-3	9
4 	1-5-4	12
5 	1-5	3
6 	1-6	4
7 	1-6-7	6
8 	1-5-8	17
9 	1-5-9	7
10 	1-10	2
Routing table for Node Id 1 Time = 260 seconds
 Destination 	 Path 	 Cost
0 	1-5-0	7
